City_or_County,Year,Month,Day,CC_Year,CC_Month,CC_Day,Hour,Minute,Types_of_waters,Drowning_reasons,Drowning_results,Gender,Age,Swimming_skills
Taipei City,2014,1,12,2013,12,12,21,13,Lake,Suicide,Dead,Female,51,No
Taipei City,2014,1,26,2013,12,26,12,47,River,Floating Corpse,Dead,Male,75,Unknown
Taipei City,2014,2,7,2014,1,8,10,59,River,Floating Corpse,Dead,Male,50,Unknown
Taipei City,2014,2,7,2014,1,8,11,44,Lake,Suicide,Dead,Male,85,Yes
Taipei City,2014,2,14,2014,1,15,9,35,River,Floating Corpse,Dead,Male,Unknown,Unknown
Taipei City,2014,2,25,2014,1,26,17,1,River,Suicide,Rescued,Female,60,Unknown
Taipei City,2014,3,8,2014,2,8,6,29,Pond,Suicide,Dead,Female,51,No
Taipei City,2014,3,10,2014,2,10,8,36,River,Work,Dead,Male,52,Unknown
Taipei City,2014,3,19,2014,2,19,8,14,River,Floating Corpse,Dead,Female,70,Unknown
Taipei City,2014,3,27,2014,2,27,0,11,River,Others,Missing,Male,Unknown,Yes
Taipei City,2014,3,28,2014,2,28,17,1,Pond,Suicide,Dead,Female,52,No
Taipei City,2014,3,29,2014,2,29,10,13,River,Suicide,Dead,Female,40,Unknown
Taipei City,2014,4,14,2014,3,15,18,49,River,Suicide,Rescued,Male,70,Unknown
Taipei City,2014,4,16,2014,3,17,10,47,Swimming Pool,Others,Rescued,Female,65,Yes
Taipei City,2014,4,20,2014,3,21,22,18,River,Suicide,Dead,Female,31,Unknown
Taipei City,2014,4,23,2014,3,24,19,59,River,Suicide,Dead,Male,54,Unknown
Taipei City,2014,5,24,2014,4,26,12,49,River,Floating Corpse,Dead,Female,Unknown,Unknown
Taipei City,2014,5,24,2014,4,26,18,36,River,Suicide,Rescued,Male,70,Unknown
Taipei City,2014,5,26,2014,4,28,8,16,River,Floating Corpse,Dead,Female,Unknown,Unknown
Taipei City,2014,5,30,2014,5,2,13,52,River,Others,Dead,Male,70,Unknown
Taipei City,2014,6,8,2014,5,11,9,11,River,Floating Corpse,Dead,Male,Unknown,Unknown
Taipei City,2014,6,10,2014,5,13,13,0,River,Floating Corpse,Dead,Male,70,Unknown
Taipei City,2014,6,10,2014,5,13,14,44,River,Slipping,Rescued,Female,40,Unknown
Taipei City,2014,6,18,2014,5,21,14,12,River,Slipping,Rescued,Male,40,Yes
Taipei City,2014,6,22,2014,5,25,16,44,Dock,Others,Rescued,Female,19,Unknown
Taipei City,2014,7,3,2014,6,7,19,8,River,Floating Corpse,Dead,Male,86,Unknown
Taipei City,2014,7,7,2014,6,11,23,35,Lake,Floating Corpse,Dead,Female,Unknown,Unknown
Taipei City,2014,7,9,2014,6,13,6,3,River,Suicide,Dead,Male,73,Unknown
Taipei City,2014,7,14,2014,6,18,16,8,River,Suicide,Dead,Male,77,Unknown
Taipei City,2014,7,20,2014,6,24,15,54,River,Suicide,Dead,Male,32,Unknown
Taipei City,2014,7,29,2014,7,3,6,43,River,Suicide,Dead,Female,60,Unknown
Taipei City,2014,7,29,2014,7,3,11,27,River,Floating Corpse,Dead,Female,50,Unknown
Taipei City,2014,8,5,2014,7,10,13,48,Dock,Suicide,Rescued,Male,40,Unknown
Taipei City,2014,8,7,2014,7,12,18,5,River,Floating Corpse,Dead,Female,60,Unknown
Taipei City,2014,8,8,2014,7,13,9,11,River,Floating Corpse,Dead,Male,74,Unknown
Taipei City,2014,8,8,2014,7,13,16,44,River,Suicide,Rescued,Male,52,Yes
Taipei City,2014,8,21,2014,7,26,17,2,River,Floating Corpse,Dead,Female,50,Unknown
Taipei City,2014,8,28,2014,8,4,19,16,Dock,Suicide,Dead,Male,Unknown,Unknown
Taipei City,2014,8,29,2014,8,5,5,37,River,Floating Corpse,Dead,Male,40,Unknown
Taipei City,2014,8,31,2014,8,7,19,12,Swimming Pool,Playing,Rescued,Female,38,No
Taipei City,2014,9,1,2014,8,8,11,41,Dock,Floating Corpse,Dead,Male,60,Unknown
Taipei City,2014,9,17,2014,8,24,7,23,River,Floating Corpse,Dead,Female,50,Unknown
Taipei City,2014,10,19,2014,9,26,14,22,Swimming Pool,Others,Rescued,Male,14,Yes
Taipei City,2014,10,26,2014,0,3,5,53,River,Floating Corpse,Dead,Female,Unknown,Unknown
Taipei City,2014,10,31,2014,0,8,19,27,Lake,Others,Dead,Male,21,Yes
Taipei City,2014,11,8,2014,0,16,15,50,River,Floating Corpse,Dead,Female,Unknown,Unknown
Taipei City,2014,11,21,2014,0,29,11,22,Dock,Floating Corpse,Dead,Female,30,Unknown
